Entity,Code,Year,Is there a net-zero target?
Antigua and Barbuda,ATG,2040,Yes
Australia,AUS,2050,Yes
Austria,AUT,2040,Yes
Bahrain,BHR,2060,Yes
Barbados,BRB,2030,Yes
Belize,BLZ,2050,Yes
Benin,BEN,2000,Yes
Bhutan,BTN,2000,Yes
Brazil,BRA,2060,Yes
Cambodia,KHM,2000,Yes
Canada,CAN,2050,Yes
Chile,CHL,2050,Yes
China,CHN,2060,Yes
Costa Rica,CRI,2050,Yes
Croatia,HRV,2050,Yes
Denmark,DNK,2050,Yes
Ecuador,ECU,2050,Yes
Estonia,EST,2050,Yes
Fiji,FJI,2050,Yes
Finland,FIN,2035,Yes
France,FRA,2050,Yes
Germany,DEU,2045,Yes
Greece,GRC,2050,Yes
Guinea-Bissau,GNB,2030,Yes
Guyana,GUY,2019,Yes
Hungary,HUN,2050,Yes
Iceland,ISL,2040,Yes
India,IND,2070,Yes
Ireland,IRL,2050,Yes
Israel,ISR,2050,Yes
Italy,ITA,2050,Yes
Japan,JPN,2050,Yes
Kazakhstan,KAZ,2050,Yes
Latvia,LVA,2050,Yes
Liberia,LBR,2000,Yes
Lithuania,LTU,2050,Yes
Luxembourg,LUX,2050,Yes
Madagascar,MDG,2010,Yes
Malaysia,MYS,2050,Yes
Maldives,MDV,2030,Yes
Malta,MLT,2050,Yes
Marshall Islands,MHL,2050,Yes
Monaco,MCO,2050,Yes
Nepal,NPL,2050,Yes
New Zealand,NZL,2050,Yes
Nigeria,NGA,2030,Yes
Panama,PAN,2050,Yes
Portugal,PRT,2050,Yes
Romania,ROU,2050,Yes
Russia,RUS,2060,Yes
Saudi Arabia,SAU,2060,Yes
Singapore,SGP,2021,Yes
Slovenia,SVN,2050,Yes
South Africa,ZAF,2050,Yes
South Korea,KOR,2050,Yes
Spain,ESP,2050,Yes
Sri Lanka,LKA,2060,Yes
Sweden,SWE,2045,Yes
Thailand,THA,2050,Yes
Turkey,TUR,2053,Yes
Ukraine,UKR,2060,Yes
United Arab Emirates,ARE,2050,Yes
United Kingdom,GBR,2050,Yes
United States,USA,2050,Yes
Uruguay,URY,2050,Yes
Vietnam,VNM,2050,Yes